question,previewContents
일본여자 이름이 궁금합니다,사진속 여자 이름
캠핑장추천,무료 캠핑장 울산 추천좀요
밴드회원이 천명이상이면광고비가입금이된,밴드회원이 천명이상이면광고비가입금이된다는데 사실인가요
Excel table,https://spreadsheeto.com/sumif-and-sumifs/#iLightbox[c2bc3ea38c1ccc1e9d2]/0 오른쪽에 있는 excel table 처럼 하려면 excel menu에서 뭘 눌러야 하는지 알려주십시오. 참고로 저는 ms office excel 2019 English 를 사용하는 중입니다.
문학 시 질문,시중에서 그여자 그집이 아름답다 근황 글짓기 교실 기차 강화도쪽 겨우살이 겨울 한강을 건너며 곡비 구례 어딘가를 지나가는 나의 잠 가난을 위하여 가을 빛 가지마셔요 강변역 중에서 10행이상인 시좀 알려주시고 그 시의 내용좀 오려주세요 채택 꼭 해드립니다. 부탁드리겠습니다.
순천에서 보성 여행코스,전남 순천에서 보성으로 당일치기 여행을 가고싶은데 경험자님들 코스좀 알려주시면 감사하겠습니다!!
블루캐년 여행하기,블루캐년 여행하기
서울이나 경기도권에서 (벤큐모니터가 있는)커플 모텔이나 호텔을 찾고있습니다.,질문 내용 그대로인데.. 벤큐 모니터또는 벤큐급 성능을 가진 모텔을 찾고있어요.
궁평리 해수욕장에서 간간히 불피우며,궁평리 해수욕장에서 간간히 불피우며 취사 하는 분들이 보이던데 가능한가요? 아니면 구역이 따로 지정되어 있나요?
이천설봉산코스,주차장 쪽에서 올라가서 365계단을 오르고싶은대 항상 내려가는코스로 가지내요 주차장에서 365계단타려면 어디로 가야 하나요 코스 가르쳐 주서요
노트북 덮개 닫았다 열때 잠김,현재 노트북 덮개를 닫으면 절전이 아니라 아무것도 안함 으로 설정해뒀는데 덮개를 닫았다 열면 잠금이 안되더라구요. 덮개 닫았을때 절전이나 종료가 아닌 아무것도 안함으로 설정해놓고 덮개를 열면 암호를 쓰게 하는 법은 없나요?
제천 로뎀 청소년 학교,서울서 제천 로뎀 학교에 갈려고 하는데 토욜 아침엔 너무 차가 밀려서 저녁에 출발 하려 합니다.가까운 곳에서 숙박 하려 하는데 어느 곳 이 좋을까요? 빨리 예약 하려는데 아느시분 답변 부탁 드립니다.
서울 풀빌라 질문이요!! 지식인님들 도와주세요 ㅜㅜ,혹시 수도권에있는 풀빌라 중에 수영모 안써도되는 실내 풀빌라 있을까요?? ㅠㅠ 알려주세요ㅜㅜ
편의점택배질문,저가편의점(cj)텍배를오늘안에받아야하는데안오내요ㅠㅠ 혹시cj오늘쉬나요??? 운송장번호363316168612
울산 온천 숙박하려고하는데 트윈룸은없나요,온천 마을처럼되어있더라구요 근데 그곳은 다 킹사이즈만있던데 트윈룸이면서 온천 나오는 호텔은없나요?
하베르츠가 입은 독일 집업 사고 싶은데 살 수 있는 방법 없을까요?,이 독일 국대 집업 살 수 있는 방법 없을까요? 꼭 사고 싶은데
송도 아이앤주 동물원 질문,여기 문의 할게 있어서 전화했는데 왜 안받죠?? 영업 안하나요?? 아시는분??
여수 디오션 워터파크 티셔츠 반팔,제가 금요일에 여수 디오션 워터파크 놀러가려고하는데 제가 수영복이 없어서그러는데 그냥 흰티에다가 나이키 반바지같은거 입고 입장할수 있나요?
다리불편한 경우 적당한 여수여행지 추천해주세요,안녕하세요. 걷기가 좀 불편한데.. 혹시 적당한 여수여행지 추천해줄만한곳 없을까요?^^ 감사합니다.
트리액션인지질프로틴드셔보신분,트리액션인지질프로틴드셔보신분
정품이 맞는지요?,힙합퍼에서 에어맥스98 구매 후 약 20일후 제품을 인도 받았습니다. 정품이 맞는지 의심스러운 부분이 많아 문의합니다
경기도  남양주시,경기도 남양주에도 서울시 처럼 내 집앞 주차 보조금이 나오나요?
송추계곡 출입 질문,이번 휴가때 송추계곡 가고싶은데 예전처럼 식당 예약하고 의무적으로 백숙안먹어도 물놀이할수있나여???
말레이시아 축제 개최 시기축제 이름축제와 기후의 관련성축제의 주요 행사 뭐예요?,말레이시아 축제 개최 시기축제 이름축제와 기후의 관련성축제의 주요 행사 뭐예요?
경주 불국사 알릴내용이 무엇이 있나요?,숙젠데요.. 불국사 안내장을?만들기 숙제인데 경주 불국사 알릴내용을 적어래요.딱히 적을 내용도 없고 다 어려운 낱말등이 포함되어 있어서요..ㅠㅠ 주제관이랑 지역에 대해 자세하고 쉽게 알수있는 내용으로 부탁드려요. +.내공이 뭔가요? 450내공이 있어요.
말레이시아 가옥 관련 질문,말레이시아 전통가옥 현대 가옥 뭐가 있나요?
GOGO카카오프렌즈,브라질15권 예정일과 미리 브라질 역사 좀 알려주세요 ㅎㅎ 근데 막 쓰시면 안되요. 내공100입니다.ㅇㅇ
콘도회원권,2000년2월17일 계약 용문산콘도렉스 휴양콘도미니엄 계약기간이지났는대 적혀있는 전화번호가 ? 정확한번호를 알고싶네요 주소는 경기도 양평군 용문면 금곡리 265번지입니다
프랑스 관광지에대한 속설 및 전설 (스토리텔링),급하게 몇가지 자료가 필요한데 부탁드립니다. 프랑스 관관지에 관련해서 전해지는 속설 및 전설 (스토리텔링) 자료 부탁드립니다 감사합니다. 내공 풀!!!
부산 벡스코 제1전시장 시야,요기 시야 어떨까요... 아직 학생이라서 플미는 못사고 여기 겨우 구했는데 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 많이 안보일까요? 시야 사진 있으면 부탁드려용 101 11번째줄 오른쪽이에요
클래스팅에다 삭제된 과목 이라고 나오면서 어떻게 해야하나요?,클레스팅에 들어가보니 다 삭제된 과목이라고 되어있는데 어떻해야할까요?
케냐 나이바샤 숙소,현지인들이 운영하는 나이바샤 숙소 좀 알려주세요 ㅜㅜ
통영 제승당 최근에 가신 분?,이순신 장군의 유적지인 통영 제승당에 몇년 전에 갔더니 영문 안내판에 이순신과 그의 army 군인들이라고 해서 육군이 아닌 수군이니 navy 나 marine 으로 고쳐야 한다고 말해줬는데 그 뒤로 고쳤는지 모르겠어요.
라스베가스 패리스호텔에서 공항가는 가,라스베가스 패리스호텔에서 공항가는 가장 좋은방법좀알려주세요 대중교통으로 최대한자세히알려주세요 구글지도따위는 사절이요
태안 마검포 pc방,태안 마검포 해수욕장에서 걸어서 갈 수 있는 거리에 pc방 있나요.
제주도 서귀포에 위치한 카라멜 가게,서귀포시에 있던 카라멜 가게 가가멜 문 닫았나요? 정보가 없네요 ㅠㅠㅠㅠㅠ 이번에 사러 가려고 했는데 20년 2월 이후로 정보가 없네요.ㅔ
청주 가경동 무인텔or여관질문,대실 하려고하는데 신분증검사안하는 무인텔이나 여관있는지 알려주세요 (쪽지나메일환영) 내공100 전 신분증있는데 여친이 미성년자라;;
핀란드에서 살고 싶어요.(미래형 현재 아님),Q. 핀란드 어느 쪽에 한국인들이 많이 있나요?(살고 있나요?) 핀란드는 보여지는 차별이 심한가요? (속으로 하는 차별은 상관 없습니다. 어느 나라든 차별인지 모르고 하는 인간들이 많거든요.) 핀란드에 한국인들 비중이 많은 직업이 있나요? 핀란드엔 어느정도의 한국인들이 살고 있나요? 핀란드 종교는 어떤가요? (현재) 핀란드는 종교 차별이 심한가요? (제가 무교가 아니여서..) 핀란드에서 살면서 (한국인이 느끼기에) 특이하게 격게 되는 것들이 있나요? 핀란드에서 좋다고 느끼는 것은? 핀란드에서 좋지 않다고 느끼는 것은? 핀...
콘도 예약 사이트(온라인 콘도),콘도를 이곳에서 예약을 하려고 하는데 사이트가 신뢰가 안 되고 주소도 일반적인 오피스텔로 되어 있더라구여....여기 믿어도 괜찮아요?? 온라인콘도라는 사이트입니다 https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=http://m.onlinecondo.co.kr/&amp;ved=2ahUKEwj69Yq2g83qAhXcLqYKHRgEDqcQFjAAegQIBRAD&amp;usg=AOvVaw3PqTPqZtFPeQmaMWDogZSM&amp;cshid=1594739468876
스웨덴 스톡홀름~룰레오 이동,급해서 질문드립니다. 개인적인 사정으로 스톡홀름에서 룰레오로 이동해야하는데요 그 돈을 좀 아끼려고해서요 시간은 좀 걸려도 버틸수있습니다만 돈을 좀 아끼려고합니다. 그래서 그 버스를 이용하려고하는데  스웨덴은 처음인데다 어떠한 정보도 없어서 전혀 모르겠습니다 도와주세요. 1. 스톡홀름에서 룰레오 버스로 이동가능한지? 2. 이동가능 하다면 가격대는? 3. 이동가능 하다면 이동시간은? 4. 기차 버스 비행기 중 금액이 가장 낮은건? 5. 버스로 이동이 가능하다면 버스예약을 국내에서 해야하는지 아니면 해외에서 해...
개를 훔치는 완벽한 방법,개를 훔치는 완벽한 방법 느낀점 적어주세요!!
마산(경남대근처) 내공 70,안녕하세요 경남대 근처에 사는 학생입니다.. 혹시 교통카드 보신분 있나요? 총 3번 잃어버렸는데 혹시나 보신분은 답변달아주세요. 제가 댓글 달아드릴게요.
뮤지컬 시카고 한글판 대본 구해요ㅠㅠ!!,뮤지컬 동아리여서 시카고 대본이 필요한데 혹시 가지고 계신분 있으실까요.??
이 공원 어딘가요?,빈지노랑 미초바랑 데이트한 공원 어딘가요
스파이더 배송,제가 스파이더 슬리퍼를 공식 스파이더 홈페이지에서 토요일 저녁쯤 주문했는데 언제쯤 도착할까요? CJ대한통운 382171685316
홍성이나 내포에서 강촌역 가는법,버스 기차 지하철 다 써서라도 17일 당일 10시 반까지 강촌역 가야하는데 계획 좀 세워주세요... 기차도 시간이 잘 안맞네요
독일 공보험 TK 결제,이번 겨울학기에 독일 대학에 입학해야하는데 공보험을 들려고 하는데 한국에 있는 은행(하나은핸) 비자카드로 결제가 될까요??
컾퓨터에 쓰는 전원선이 남아서 세전선 앞과 뒤를 자른후 세선을 한가닥으로 만들경우럼 이어주구요  이후는 직류 전기가  피복안에 있,컾퓨터에 쓰는 전원선이 남아돌아서 전원선 안에 세가닥 전석을 끝에서 피복을 벗기고 세전선을 하나의 선처럼 끝단을 합칩니다. 이후 직류플러스 라 한다면 각기 색이다른 세가닥 선으로 직류가 흐를 것이고 세전선 끝에를 다시 뭉쳐서 하나의 단자로 만든다면 용량이 세배 늘어난 직류 전송 선이 만들어지지 않을까 해서요. 이럴게 하고 다른 컴퓨터 전선을 이용해서 마이너스 선도 세가닥으로 가게 한다면 별문 없을경우 직류전기 용량이 어느정도 요구하는 선을 대체 가능하지 않을까 싶어서 질문 드립니다
을지대학교 식품영양학과,안년하세요 한조고다니는 학생입니다 제가 등급이5등급정도 되요.. 근데 아직2학년 1학기라서 점더 올릴수있을거라고 생각합니다 그래서 을지대학교 외식조리학과를 생각중인데 몇등급정도 맞아야 갈수있응까요..????ㅠㅠㅠ 정확한 답변 부탁드립니다ㅠ
장호항2박3일,이번에 장호항에 놀러가려구합니다 숙소는 장호항근처구요 크2박3일코스추천부탁드려요 맛집두요~
고등학생 체험학습 급해요..,고등학생인데 체험학습을 가족여행 가고싶은데 시험 4일전인데 가능할것같나요...? 저 정말정말 가고싶은데...목요일 금요일이라서 2틀 빠지는거도 불가능일라나요...????저 시험공부는 알아서 하고싶기도 하고 아무튼.....정말 고민되요 ㅠㅠ 가족이랑 할머니 할아버지랑 오랜만에 가는 여행인데 진짜 가고싶습니다!!엄마 아빠 두분이 맞벌이셔서 날짜가 그 때밖에 안돠ㅣ셔요..조언좀 부탁드려요!!!!
부산 동백전  아울렛에서  사용 가능 한가요 ?,동백전 아울렛서 사용 가능한 매장은 어디 인가요 ?
강남 여학생 혼자서 묵을 만한 게스트 하우스 추천좀 해 주세요,여중생 혼자 묵을 만한 깔끔하고 좋은 강남 게스트 하우스좀..ㅠㅠ
진로 여행 계획서 간호사,여행 기간은 비행시간 제외 7일 예산은 400만원 이내로 진로 여행 계획서를 쓰는게 수행평가인데요  진로는 간호사이고 여행의 주제는 의료 봉사 여행 (또는 봉사 여행) 으로 하려고 하는데 여행지 추천 좀 부탁드립니다 ㅠ ㅅ ㅠ 
진도 쏠비치 주변 식당이나 진도 먹거리,진도 쏠비치 리조트를 가는데 주변에 식당이라던지 괜찮은곳 없을까요 ? 아무래도 리조트 안은 너무 가성비가 떨어질거 같아서요 ㅠ 취사가 안되는 방을 예약할거같아서 질문드립니다
미우새 촬영장소확인,7월19일 미우새 예고 김종국편에서 방영댄 계곡인대 여기 계곡 이름좀 알수있을까요?? 밑에 주소 근방에 있는 계곡인듯한대 아시는분 있으면 답변좀 부탁드릴게요. 혹시나 싶어 예고편 영상도 올려요. 주소 : 강원 평창군 용평면 노동리 352-8 영상 : https://m.tv.naver.com/v/14746420
배달프로그램 (배달천재) 문의 드립니다.,안녕하세요 배달전문점을 하고 있는데 배달천재라는 프로그램을 사용중입니다. 한달 매출을 보고싶은데 아무리 찾아도 나오지 않아서 혹시 아시는분 계시면 답변 부탁드립니다. 오늘 꼭 봤으면 좋겠는데 전화상담이 종료 되었다고 하더라구요 꼭 쫌 부탁드립니다. *내공 광고 신고 합니다.
첨부한 사진의 계곡 어딘지 정확히 아시는분 있을까요?,여기 계곡이 어느계곡인지 사진만으로 아시는분 답변부턱드립니다.
바다 표류영화,남녀 3쌍인지 정확히는 기억이 나지는 않습니다. 내용을 얘기하자면 요트를 타고 바다로 놀러간 후 바다 한가운데서 사다리를 내리지 않고 요트에서 뛰어내린 커플들에게 있게 된 영화 내용인데 혹시 제목을 알고 계시는 분이 있으시면 알려주세요~~~ 
케리비안베이 나라사랑카드 국민 제휴할인되나요?,알려주세요 !
시민권자 통장개설,안녕하세요. 두가지 질문 드립니다 1. 시민권자인 언니가 국내은행에 비거주자외화예금 계좌를 개설하려고 합니다. 영사관 위임장이 필요하다고 하는데 본인말고 위임받는 사람의 증명서류는 필요없나요?? 2. 신한은행에 거래가 있었는데 계좌번호를 모르겠다고 합니다. 확인하는 방법이 없을까요??
국내관광지ㅈㅈㅎㅇㅁㅇ,국내관광지ㅈㅈㅎㅇㅁㅇ
여긴 어디죠?,여긴 어디죠?
서울 팬션,서울에 친구하고 방안에 게이밍컴퓨터하고 수영장 있는곳으로 숙박하고 오고싶은데 뭐라고 쳐야 나오나요???
펜션을 찾습니다아...,안녕하세요 2년전인가 3년전에 평창에 계곡근처로 놀러갔다가 간 펜션을 찾습니다ㅜㅜ 아무리 생각해보려해도 영 기억이 나질않아서요...흑흑 펜션 외관은 사진 첨부 드립니다. 정원에 흔들의자가 있고 자갈로 된 정원바닥이 있고 그쪽에서 바베큐가 가능했습니다! 펜션 바로 앞에 계곡이 얕게 있는데 (당시에 얕았어요) 왼쪽길로 조금 걸어가면 큰 계곡물이 있으며 튜브나 튜브보트를 빌릴수 있는 곳이 준비되어 있었습니다.ㅠㅠ 평창계곡근처 펜션으로 아무리 찾아봐도 찾을수가없어서 혹시 아시는분 계신가요오 ㅠㅠㅠㅠㅠㅠㅠㅠ
제주도 신화월드 메리어트관 질문,제주도에 있는 신화월드는 중국계 자본으로 만들어진 것으로 아는데요. (람정제주개발) 신화월드 내에있는 메리어트관의 경우 신화월드와 어떠한 관계로 신화월드 내에서 운영이 되고 있는 것인지 궁금합니다. 메리어트는 미국의 호텔 브랜드로 알고있었는데 중국계 자본으로 만들어진 신화월드의 메리어트관으로 불리우니 궁금합니다.
태안 갈음이 해상펜션 수심좀 알려주세요,갈음이 해상펜션 만조시 수심 아시는분 계신가요...제발 알려주세요
신창동 해광샹그릴라 실거주 어떤가요?,신창동 해광샹그릴라로 이사계획 중인데 실거주 하시는 분들 불편한 점이나 미래전망 등 의견 여쭙니다 
에어아시아 신용계정 (크레딧계정) 조회가 안됩니다,안녕하세요 에어아시아 신용계정 (크레딧 계정) 에 대해 질문드립니다. 얼마전 코로나 사태로 인한 비행기 티켓 환불을 신용 계정을 통해 받았는데요 에어아시아 홈페이지에서 신용계정을 조회하려고 저렇게 누르면 저 화면에서 무한 반복 로딩을 합니다.... 제대로 환불이 됐는지조차 확인이 안되네요... 방법이 있을까요 ㅠㅜㅠㅠ 
폴란드 Orange usim,6기가 짜리 유심사고 등록도 다하고 30기가짜리 충전도 했는데 카카오 보이스톡도 안되고 패이스톡도 먹통이이요... 아이폰 유저는 잘만하던데 저는 갤럭시10e거든요...왜 안되는건지 좀 알려주세요...해결방안도... 참고로 폴란드 브로츠와프입니다
벌나무랑 계피같이끓여도되나요,벌나무랑 계피같이끓여도되나요
당진 아그로랜드 태신목장,친구랑 당진 당일치기 여행을 가려고 합니다 아그로랜드태신목장에서 아미미술관 가는 51번버스 배차간격이랑 버스 배정 시간 좀 정확하게 알려주세요!
캐나다의협소주택,캐나다의협소주택
일본 모텔 '아이네 in 60',일본 모텔 (러브 호텔) &#39;아이네 in 60&#39; 수와 점 시즈오카 점 운영 중인가요? 아시는 분 계신가요? 전화번호를 알고 싶습니다
천안에 직접 자신이 케잌 만드는 곳,을 찾고 있는데요~ 이번주가 가족 생일이라 한 번 가족이 만들자고해가지고 찾고있는데 가족이 말한 곳은 사라졌고 다른 곳들을 간 사람들 블로그는 찾아도 조금 옛날에 간 것들이고 막상 지도에 장소를 치면 다 없더라구요ㅠ 천안에 케잌 직접 만드는 곳 좋은 데 없을까요? 없는 것 같다 있는 것 같다 말고 잘 찾아보고 없으면 없다. 라고 해주시고 있으면 지도로 장소 정확히 찍어주셔서 답변해주세요ㅠ 있어도 코로나 때문에 문 닫았으면 그것도 말해주세요. 허탕 치지않게..ㅋㅋㅋ +아까 올렸지만 답변이 하나도 없어서 다시 올려...
고1남자인데요. 7월에 방학하면 주말,고1남자인데요. 7월에 방학하면 주말에 여자인친구랑 둘이 해운대가서 펜션잡고1박2일로 놀려고하는데 가격 적당하고 좋은데 추천바랍니다.
스페인 음식들 가격 좀 알려주세요 제발 ㅠㅠ!!,스페인 전통 음식들 또르띠야 데 파타타 오르차타 초리소 상그리아 추로 코카 파에야 타파스 파바다 등 스페인 음식들 최대한 많이 보통 식당에서 얼마정도 하는지 알려주세요ㅠㅠ 제발 ㅠㅠㅠ 빠른 답변 부탁드려용 ㅠㅠㅠㅠㅠㅠㅠ내공 백드려요 제발 ㅠㅠㅠ!!
뉴질랜드 오클랜드 숙박,뉴질랜드 오클랜드에 묵을예정인데 (저 혼자요) 하루 숙박비가 보통어떻게되나요? 모텔이나 호텔같은곳이요 공항이랑가까우면더욱 좋고요
설악 워터피아 메일스트롬,설악워터피에가 가보면 메일스트롬이라는 큰 워터슬라이드가 있는데 설악워터파크 홍보영상? 그런게 있던데 거기에는 메일스트롬이 밖을 볼수 있는것 처럼 양 옆이 뚫려있던데 지금은 양 옆이 막혀있네요.조금 예전부터 가봤는데도 막혀 있더라구요.원래는 열여 있었던건가요? 아니면 월래부터 막혀 있었나요. 내공 20점 드릴게요.
누가 의료기 양산 체험실,누가 의료기 양산 체험실
제가 일요일에 영풍문구에서 책을샀는데,제가 일요일에 영풍문구에서 책을샀는데 겉비닐을 직원분께서 뜯으시다가 칼자국이랑 손톱자국이 여러개난걸 그날발견했는데 바빠서 다음날가서 교환받았거든요 교환받을때 교환말고 환불은 안되냐고 물어보니깐 안된다더라구요 그래서 지금 교환받은책은 겉비닐도 안뜯은 상태이고 교환받을때 영수증을 따로 또 뽑아주신게아니라 일요일에 살때 그 영수증을 그대로 주시더라구요 이책 다시 영수증들고 가져가서 환불할려고 하면 환불될까요?
백석예대 한국관광대,호텔제과제빵과를 가고싶은데 국내에 이 과가 있는 대학이 몇개 없더라고요.. 그래서 수도권 지역으로 가려하는데 백석예대랑 한국관광대 호텔제과제빵과 둘 중 어디가 더 좋나요?? 혹시 재학생 분 계시면 답변 부탁드려요ㅜㅜ 그리고 등록금은 얼마나 되나요?? 수업은 얼마나 빡센지 궁금해용 (다른 대학 홍보하지마세요 신고합니다)
비오는꿈 비가 많이 오는꿈 비가 많이 내리는 꿈 해몽 좀 부탁해요,제가 다녔던 초등학교가 배경이였는데 건물이 5층까지 있어요 근데 갑자기 비가 온다 그래서 친구들이랑 창문을 다 닫으려는 순간에 엄청난 폭우가 오더니 빗물이 너무 많이 들어와서 친구들이 넘어지고 밖을 보니 운동장에 비가 엄청 많이와서 건물 한 2층정도의 높이만큼 빗물이 잠겨 있었어요 너무 생생했고 무서웠어요 현실에서도 안좋을까 해서 해몽 좀 부탁해요
노래 제목 좀 알려주세요,서양의 잘생긴 사람이었던거 같은데 아닐수도 있어요 꽤? 꿰? 꿰소와 꿰소와 이런 단어가 반복적으로 들리는 노래에요 몇년전에 즐겨들었던거같은데 며칠전부터 입에 맴도는데 너튜브에서도 도무지 못찾겠네요 혹시 아시는 분 계실까요? 꿰세라세라 아니에요 유명한 노래는 아녔던거 같아요 약간 칸쵸네스럽기도 하고 이탈리안지 스페인쪽 단어인지 잘 모르겠어요 이 노래 혹시 아시는 분 계실까요?
학교 수행평가로 역사 홍보 팜플렛을,학교 수행평가로 역사 홍보 팜플렛을 만들려고 하는데요 저는 진로가 의료계쪽이라 의료쪽으로 관련한 유적을 답사하는 방법으로 하려고 합니다. 그런데 제가 찾은 유적지는 최초의 근대식 병원인 예수병원과 각 도에 혜민서가 있다는 것 정도입니다ㅠ 전라도에 역사적으로 있었던 의료기관과 유적지들이 이것 말고도 더 있나요? 있다면 유적지와 정보들을 올려주세요 ㅠㅠㅠㅠ
폴란드 대학교 유학 질문,폴란드 디자인 대학에 진학 생각중인데  폴란드의 좋은 디자인대학 알려주시고 그 학교의 입학조건 알려주세요 ! ( 되도록이면 영어로 수업 진행되는 학교 말고 폴란드어로 진행되는 학교로 알려주세요 ㅜㅠㅠㅠ)
장위안이랑결혼하고싶은데 어떻게하면 결,장위안이랑결혼하고싶은데 어떻게하면 결혼할 수있죠
부산 씨라이프 식당,부산 씨라이프 아쿠아리움에 식당 있나용?
(주)화인석재,동남구오룡동에 위치하고있는 (주)화인석재 업체를 알고계신분 답글 좀 부탁드립니다.
고등학교.. 내공 100,제가 중3 때 김포로 이사가고 지금은 강서구에 사는데 전학을 안갈거여서 고등학교 가기 전까지는 지금 다니는 학교를 다닐건데 고등학교를 가려고 하니까 친구들은 강서구에 사니까 다같이 강서구에 있는 고등학교를 갈려고 합니다 저도 그 1지망에 친구들과 같은 학교를 쓰면 붙을수 있을까요? 전 김포에서 살고 강서구 고등학교를 다니고 싶어하고 친구들은 강서구에 살고 강서구 고등학교를 가고 싶어함키다 거리는 집에서 학교까지 지하철로 1시간 차로 25분 걸립니다 최대한 빨리 답변 부탁드려요 내공 100
꿈날개 모의면접,꿈날개 모의면접 Please explain above expression in English. 번역기 돌렸는데 이상함
부산 바다애펜션,요번에 부산 기장에 있는 바다애펜션으로 놀러갈 예정인데요 그 펜션에 바베큐 이용 제한시간이 있나요??
에지시티 (Edge city) 의 예시,에지시티 (Edge city) 의 예시에는 뭐가 있나요 ㅜㅜ 아무리 검색을 해 봐도 나오질 않네요
중국 식전 국물?,중국에서 어느 식당인지도 기억안나는데ㅠㅠ 신전 국물로 나왔었어요 고기육수고 갈색이였는데 좀 생강? 계피 향도나고 국물도 깔끔하고 좋았었거든요 혹시 그식당에서 퓨전으로 만들어 내놓은거지 아니면 음식에 이름이 따로있을까요?
전주여고 질문,면접 보나요? 꼭 공부를 잘 해야 들어갈 수 있나요? 기숙사 그냥 들어간다고 하면 들어갈 수 있나요? 다른지역에서 가려고 하는데 1지망 하면 갈 수 있는 확률 높나요?
&lt;고산유고(孤山遺稿)&gt;에 실려 있는 봄 여름 가을 겨울 10수씩 모두 40수로 이루어져 있는 이 시조는?, 전남 완도 보길도(甫吉島)의 아름다움에 매료되어 말년을 보내던 고산 윤선도(尹善道)가 지은 연시조. 
전국 우체국 수련원 코로나로 운영중단인가요?,강릉 경포대 우체국 수련원 예약불가능인가요..? 만약 안되면 언제까지 안되는건가요?
다이소 재고확인,재고확인 부탁드려요. 성남 서현역 수내역 야탑역 근처 품번 913173178 품명 미니서랍장4단 사진첨부
강아지 방문 훈련,강아지 방문훈련 할려고합니다 지역은 울산이고 방문훈련을 할려고합니다 증상은 이식증이 심해서 훈련이 필요합니다 가격이랑 이름 자세히 알려주세요 추천 부탁드립니다
캠핑장 직원 일상으로 유투브 하려고 하는데 채널명 추천좀 해주세요,캠핑장 직원으로 일상형식으로 유투브 시작하려하는데 참신한 채널명 추천 부탁드립니다 내공 100이요
대전 유성 대정동 한진택배 근처 공인계량소 질문입니다,선배님 대전한진택배 근처 24시간 하고있는 공인계량소를 찾고 있습니다 목적지는 목포항여객터미널 입니다
개인통관고유부호 발급 방법,현재 아이폰Xs를 쓰고있는데요 개인통관고유부호를 발급받으려니 밑에사진과같이 저런게 자꾸 뜨더라고요..하라는대로 설정에들어가서 팝업차단도 껐는데도 이러네요ㅠㅠ 어떨게하야할까요??
연세대학교 대기과학과,안녕하세요 저는 지금 일반 고등학교를 다니는 1학년입니다. 제가 지금 농어촌 전형이 되는 학교를 다니고 있고 전교생 60명중 6등을 하고있습니다 연세대학교 대기과학과를 갈려면 전교 몇등 까지 들어야 하나요? 그리고 고2때 선택하는 과목은 무슨과목으로 하면 좋을 까요?
유튜버 좀 찾아주세용(내공 100 급해요ㅠㅜ,제가 한국인이 일본워홀이였나 여행지였나..에 대해 얘기하는영상인데 영상 초반에 그분이 편집하신 기차가 지나가는 영상을 되게 느낌있게 편집하셔서 올리셨는데 이 분이 누구신지 어떤영상인지 도저히 못찾겠어요ㅠㅠㅜㅠ센과 치히로의 기차있는곳을 직접 와봤다 막 이렇게도 말씀하셨는데...남성분에 모자 쓰고계셨던거 같은데...댓글에 편집실력 올랐다 어쩌구 얘기도 많았는데 급 찾아보고싶어서ㅠㅜㅜㅜ구독자수는 그리 많지 않으셨어요..왜 구독 안했는지 큽ㅠㅜㅜㅜㅠ초반에 찰박거리는 물 가르면서 기차가 나아가는 영상으로 시...
이번에 휴가때 모텔 잡을려고하는데요 질문,평일 오전10시에서 오후4시 퇴실 할려고하는데요 경기도 구리쪽이나 남양주쪽 오전 타임 입실 가능 할까요?
스웨덴 기차 혹은 버스 질문,스톡홀름~룰레오이고 1. 가격대(기차버스) 2. 소요시간(기차버스) 3. 예약방법
차세대 ps5콘솔용으로 모니터를 구매하려고합니다.,엠텍코리아 QUEEN 325 4K UHD 한성컴퓨터 TFX32U06V 4K HDR 1500R 커브드 이 두개 중에서 고민중입니다. 주사용은 콘솔용으로 4k와 hdr여부로 골랐습니다 콘솔유저분들중 잘 아시는분 답변 부탁드립니다.
문경stx리조트 스파,여자 뭐뭐 챙겨가야하나요 ..?
청양 정산중학교,안녕하세요 경기도 김포에 사는 6학년 여자 입니다. 제가 청양 정산중학교에 가고 싶은데 어떻게 해야하는지 자세히좀 알려주세요. 내공 100 드릴게요
오산 전연령 렘트,오산 00년생 생일지난 만20세이고 9~10월에 렌트 하고싶은데 가능한것이 있나요??? 뭐 전연령렌트 알아봐라 이런 말 하지말고 업체 이름이나 사이트 알려주세요
안전가족 원본,안전가족 원본중 바다에 놀러가는 동영상 보여주세요.
모항해나루가족호텔 사회복무요원,모항해나루가족호텔 사회복무요원도 갈 수 있나요?
경기도광주지점,스타벅스 서머레디백 입고일은 언제인가요? 아무리찾아도 나오지가 않네요ㅜㅜㅜ 아시는분 계신가요???
원측법사(신라),신라승려원측
독일에서 슈페어콘토 기간이 지나면 어떡하나요?,최대 1년이 슈페어콘토의 한계치라고 알고있는데요 1.그럼 1년이 지나면 독일 현지에서 추가로 다시 슈페어콘토를 만들 수 있나요? 2. 다시 만들 수 있다면 한국에서 송금받지 않고 독일 내에서 있는 돈으로 가능한가요?
Lemony pear,스페인 속담 lemony pear
독일공작연맹 무엇을 의해 만들어졌나요?,독일공작연맹 무엇을 의해 만들어졌나요?
크롬하츠 고수님들 정가품구별좀 부탁드릴게요 ㅜ,미국 백화점에서 구매했다네요 가품은 구매안한다하네요 다른박스라던지 그런건 좀되서 버렸는지 어쨌는지 모른다네연
